university_name,country,city,program_name,degree_level,field,language,tuition_category,tuition_amount,tuition_currency,gpa_min,application_system,deadline_month,apply_link,ranking_tier,notes
King's College London,UK,London,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://www.kcl.ac.uk/study/undergraduate,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
King's College London,UK,London,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.kcl.ac.uk/study/undergraduate,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
King's College London,UK,London,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://www.kcl.ac.uk/study/undergraduate,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
King's College London,UK,London,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.kcl.ac.uk/study/undergraduate,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Southampton,UK,Southampton,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.southampton.ac.uk/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Southampton,UK,Southampton,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://www.southampton.ac.uk/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Southampton,UK,Southampton,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://www.southampton.ac.uk/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Southampton,UK,Southampton,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://www.southampton.ac.uk/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Birmingham,UK,Birmingham,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://www.birmingham.ac.uk/undergraduate,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Birmingham,UK,Birmingham,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://www.birmingham.ac.uk/undergraduate,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Birmingham,UK,Birmingham,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.birmingham.ac.uk/undergraduate,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Birmingham,UK,Birmingham,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.birmingham.ac.uk/undergraduate,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Leeds,UK,Leeds,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://courses.leeds.ac.uk/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Leeds,UK,Leeds,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://courses.leeds.ac.uk/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Leeds,UK,Leeds,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://courses.leeds.ac.uk/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Leeds,UK,Leeds,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://courses.leeds.ac.uk/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Nottingham,UK,Nottingham,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://www.nottingham.ac.uk/studywithus/ugstudy/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Nottingham,UK,Nottingham,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.nottingham.ac.uk/studywithus/ugstudy/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Nottingham,UK,Nottingham,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.nottingham.ac.uk/studywithus/ugstudy/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Nottingham,UK,Nottingham,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://www.nottingham.ac.uk/studywithus/ugstudy/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Queen Mary University of London,UK,London,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.qmul.ac.uk/undergraduate/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Queen Mary University of London,UK,London,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://www.qmul.ac.uk/undergraduate/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Queen Mary University of London,UK,London,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://www.qmul.ac.uk/undergraduate/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Queen Mary University of London,UK,London,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://www.qmul.ac.uk/undergraduate/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Sheffield,UK,Sheffield,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://www.sheffield.ac.uk/undergraduate/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Sheffield,UK,Sheffield,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.sheffield.ac.uk/undergraduate/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Sheffield,UK,Sheffield,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://www.sheffield.ac.uk/undergraduate/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Sheffield,UK,Sheffield,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.sheffield.ac.uk/undergraduate/courses,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Technical University of Munich (TUM),Germany,Munich,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tum.de/en/studies/degree-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Technical University of Munich (TUM),Germany,Munich,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tum.de/en/studies/degree-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Technical University of Munich (TUM),Germany,Munich,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tum.de/en/studies/degree-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Technical University of Munich (TUM),Germany,Munich,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tum.de/en/studies/degree-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
RWTH Aachen University,Germany,Aachen,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.rwth-aachen.de/go/id/bnzd?lidx=1,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
RWTH Aachen University,Germany,Aachen,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.rwth-aachen.de/go/id/bnzd?lidx=1,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
RWTH Aachen University,Germany,Aachen,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.rwth-aachen.de/go/id/bnzd?lidx=1,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
RWTH Aachen University,Germany,Aachen,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.rwth-aachen.de/go/id/bnzd?lidx=1,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
KIT (Karlsruhe Institute of Technology),Germany,Karlsruhe,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.kit.edu/english/study.php,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
KIT (Karlsruhe Institute of Technology),Germany,Karlsruhe,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.kit.edu/english/study.php,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
KIT (Karlsruhe Institute of Technology),Germany,Karlsruhe,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.kit.edu/english/study.php,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
KIT (Karlsruhe Institute of Technology),Germany,Karlsruhe,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.kit.edu/english/study.php,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
LMU Munich,Germany,Munich,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.lmu.de/en/study/index.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
LMU Munich,Germany,Munich,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.lmu.de/en/study/index.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
LMU Munich,Germany,Munich,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.lmu.de/en/study/index.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
LMU Munich,Germany,Munich,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.lmu.de/en/study/index.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Heidelberg University,Germany,Heidelberg,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-heidelberg.de/en/study,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Heidelberg University,Germany,Heidelberg,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-heidelberg.de/en/study,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Heidelberg University,Germany,Heidelberg,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-heidelberg.de/en/study,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Heidelberg University,Germany,Heidelberg,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-heidelberg.de/en/study,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Berlin,Germany,Berlin,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu.berlin/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Berlin,Germany,Berlin,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu.berlin/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Berlin,Germany,Berlin,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu.berlin/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Berlin,Germany,Berlin,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu.berlin/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Darmstadt,Germany,Darmstadt,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu-darmstadt.de/studieren/index.en.jsp,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Darmstadt,Germany,Darmstadt,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu-darmstadt.de/studieren/index.en.jsp,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Darmstadt,Germany,Darmstadt,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu-darmstadt.de/studieren/index.en.jsp,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
TU Darmstadt,Germany,Darmstadt,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.tu-darmstadt.de/studieren/index.en.jsp,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bonn,Germany,Bonn,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-bonn.de/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bonn,Germany,Bonn,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-bonn.de/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bonn,Germany,Bonn,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-bonn.de/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bonn,Germany,Bonn,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-bonn.de/en/studying,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Hamburg,Germany,Hamburg,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-hamburg.de/en/campuscenter.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Hamburg,Germany,Hamburg,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-hamburg.de/en/campuscenter.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Hamburg,Germany,Hamburg,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-hamburg.de/en/campuscenter.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Hamburg,Germany,Hamburg,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-hamburg.de/en/campuscenter.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Saarland University,Germany,Saarbrücken,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-saarland.de/en/study.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Saarland University,Germany,Saarbrücken,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-saarland.de/en/study.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Saarland University,Germany,Saarbrücken,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-saarland.de/en/study.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Saarland University,Germany,Saarbrücken,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-saarland.de/en/study.html,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
FAU Erlangen-Nürnberg,Germany,Erlangen,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.fau.eu/education/degree-programmes/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
FAU Erlangen-Nürnberg,Germany,Erlangen,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.fau.eu/education/degree-programmes/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
FAU Erlangen-Nürnberg,Germany,Erlangen,BSc Betriebswirtschaftslehre (Business) – programme search,Bachelor,business,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.fau.eu/education/degree-programmes/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
FAU Erlangen-Nürnberg,Germany,Erlangen,BSc Data Science / Data Engineering – programme search,Bachelor,data science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.fau.eu/education/degree-programmes/,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Freiburg,Germany,Freiburg,BSc Engineering – programme search,Bachelor,engineering,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-freiburg.de/en/studies,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Freiburg,Germany,Freiburg,BSc Informatik (Computer Science) – programme search,Bachelor,computer science,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-freiburg.de/en/studies,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Freiburg,Germany,Freiburg,BSc Informatik (Security focus) – programme search,Bachelor,cybersecurity,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-freiburg.de/en/studies,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Freiburg,Germany,Freiburg,BSc Informatik (AI modules/track) – programme search,Bachelor,AI,German/English,low,,EUR,,direct/uni-assist,Varies,https://www.uni-freiburg.de/en/studies,B,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Delft University of Technology (TU Delft),Netherlands,Delft,BSc Computer Science (or CSE) – programme finder,Bachelor,computer science,English,high,,EUR,,Studielink,Varies,https://www.tudelft.nl/en/education/programmes/bachelors,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Delft University of Technology (TU Delft),Netherlands,Delft,BSc Business Administration (IBA) – programme finder,Bachelor,business,English,high,,EUR,,Studielink,Varies,https://www.tudelft.nl/en/education/programmes/bachelors,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Delft University of Technology (TU Delft),Netherlands,Delft,BSc Data Science – programme finder,Bachelor,data science,English,high,,EUR,,Studielink,Varies,https://www.tudelft.nl/en/education/programmes/bachelors,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Delft University of Technology (TU Delft),Netherlands,Delft,BSc Engineering – programme finder,Bachelor,engineering,English,high,,EUR,,Studielink,Varies,https://www.tudelft.nl/en/education/programmes/bachelors,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Amsterdam (UvA),Netherlands,Amsterdam,BSc Business Administration (IBA) – programme finder,Bachelor,business,English,high,,EUR,,Studielink,Varies,https://www.uva.nl/en/education/bachelors/bachelors-programmes.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Amsterdam (UvA),Netherlands,Amsterdam,BSc Cyber Security / Security track – programme finder,Bachelor,cybersecurity,English,high,,EUR,,Studielink,Varies,https://www.uva.nl/en/education/bachelors/bachelors-programmes.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Amsterdam (UvA),Netherlands,Amsterdam,BSc Artificial Intelligence – programme finder,Bachelor,AI,English,high,,EUR,,Studielink,Varies,https://www.uva.nl/en/education/bachelors/bachelors-programmes.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Amsterdam (UvA),Netherlands,Amsterdam,BSc Computer Science (or CSE) – programme finder,Bachelor,computer science,English,high,,EUR,,Studielink,Varies,https://www.uva.nl/en/education/bachelors/bachelors-programmes.html,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Eindhoven University of Technology (TU/e),Netherlands,Eindhoven,BSc Cyber Security / Security track – programme finder,Bachelor,cybersecurity,English,high,,EUR,,Studielink,Varies,https://www.tue.nl/en/education/bachelor-college/bachelor-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Eindhoven University of Technology (TU/e),Netherlands,Eindhoven,BSc Data Science – programme finder,Bachelor,data science,English,high,,EUR,,Studielink,Varies,https://www.tue.nl/en/education/bachelor-college/bachelor-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Eindhoven University of Technology (TU/e),Netherlands,Eindhoven,BSc Engineering – programme finder,Bachelor,engineering,English,high,,EUR,,Studielink,Varies,https://www.tue.nl/en/education/bachelor-college/bachelor-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Eindhoven University of Technology (TU/e),Netherlands,Eindhoven,BSc Business Administration (IBA) – programme finder,Bachelor,business,English,high,,EUR,,Studielink,Varies,https://www.tue.nl/en/education/bachelor-college/bachelor-programs,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Utrecht University,Netherlands,Utrecht,BSc Data Science – programme finder,Bachelor,data science,English,high,,EUR,,Studielink,Varies,https://www.uu.nl/en/bachelors-programmes,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Utrecht University,Netherlands,Utrecht,BSc Artificial Intelligence – programme finder,Bachelor,AI,English,high,,EUR,,Studielink,Varies,https://www.uu.nl/en/bachelors-programmes,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Utrecht University,Netherlands,Utrecht,BSc Computer Science (or CSE) – programme finder,Bachelor,computer science,English,high,,EUR,,Studielink,Varies,https://www.uu.nl/en/bachelors-programmes,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Utrecht University,Netherlands,Utrecht,BSc Cyber Security / Security track – programme finder,Bachelor,cybersecurity,English,high,,EUR,,Studielink,Varies,https://www.uu.nl/en/bachelors-programmes,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
Leiden University,Netherlands,Leiden,BSc Artificial Intelligence – programme finder,Bachelor,AI,English,high,,EUR,,Studielink,Varies,https://www.universiteitleiden.nl/en/education/study-programmes/bachelor,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
